"verticalPosition","month_num","max_mean","min_mean","max_sd","min_sd","norm_height","month_char","var"
10,7,0.24,0.06,0.05,0.02,0.43,"July","windSpeedMean"
20,7,0.58,0.16,0.09,0.04,0.87,"July","windSpeedMean"
30,7,0.53,0.13,0.1,0.04,1.3,"July","windSpeedMean"
40,7,1.07,0.19,0.28,0.11,1.74,"July","windSpeedMean"
50,7,2.88,0.67,0.67,0.37,2.17,"July","windSpeedMean"
0,7,96.83,68.92,4.81,14.75,0,"July","RHMean"
60,7,90.81,51.48,10.98,12.83,2.61,"July","RHMean"
10,7,22.86,17.37,4.11,3.95,0.43,"July","tempSingleMean"
20,7,24.44,17.73,3.49,3.05,0.87,"July","tempSingleMean"
30,7,24.92,17.01,3.51,3.19,1.3,"July","tempSingleMean"
40,7,24.66,17.01,3.3,3.19,1.74,"July","tempSingleMean"
50,7,24.92,17.64,3.45,2.98,2.17,"July","tempSingleMean"
0,7,23.62,17.09,2.44,2.38,0,"July","bioTempMean"
10,7,25.93,17.42,3.1,2.37,0.43,"July","bioTempMean"
20,7,26.2,17.31,3.1,2.47,0.87,"July","bioTempMean"
30,7,25.37,17.12,2.85,2.68,1.3,"July","bioTempMean"
40,7,25.56,16.72,2.87,2.75,1.74,"July","bioTempMean"
10,7,203.69,-0.35,189.7,0.38,0.43,"July","PARMean"
20,7,196.6,-0.14,132.86,0.14,0.87,"July","PARMean"
30,7,677.82,-0.12,367.77,0.86,1.3,"July","PARMean"
40,7,1723.45,8.48,372.42,25.92,1.74,"July","PARMean"
50,7,1741.65,0.01,368.16,0.18,2.17,"July","PARMean"
60,7,1738.48,0.67,378.96,8.87,2.61,"July","PARMean"
0,7,NA,NA,NA,NA,0,"July","SWIR"
60,7,868.4,-3.89,184.67,1.12,2.61,"July","SWIR"
